Group   d15NPl	d13CPl	d15NCe	d13CCe
1   10.22   -11.36  9.45    -14.03
1   10.37   -11.88  8.70    -12.77
1   10.44   -10.60  9.04    -11.73
1   10.52   -11.25  8.54    -11.77
1   10.19   -11.66  8.92    -12.37
1   10.45   -10.41  8.67    -11.47
1   9.91    -10.88  8.83    -11.21
1   11.27   -14.73  10.28   -15.56
1   9.34    -11.52  8.85    -12.03
2   11.68   -15.89  10.14   -14.63
2   12.29   -14.79  10.34   -13.56
2   11.04   -17.64  9.54    -16.80
2   11.46   -16.97  10.36   -15.41
2   11.73   -17.25  10.01   -16.55
2   12.29   -14.77  10.69   -13.87
2   11.79   -15.67  10.15   -13.93
2   11.49   -15.34  10.64   -14.15
2   11.73   -15.53  10.39   -14.51
2   11.10   -17.27  9.67    -15.70
2   11.36   -15.63  10.13   -14.16
2   12.19   -15.94  10.60   -15.14
2   11.03   -14.88  9.86    -13.41
2   11.21   -15.90  10.47   -14.11
2   10.58   -17.11  11.07   -17.85
2   11.61   -14.93  10.79   -14.76
2   12.16   -16.26  10.61   -15.34
2   10.70   -17.50  9.86    -15.64
2   11.47   -16.37  10.13   -13.92
2   12.07   -15.21  10.50   -14.22
2   11.75   -15.43  11.05   -14.72
2   11.86   -16.54  9.95    -14.96
2   12.33   -15.00  10.69   -13.42
2   12.36   -16.41  10.72   -15.09
2   11.13   -15.09  9.35    -12.42
2   10.92   -18.06  9.25    -12.50
2   12.42   -16.27  10.95   -15.13
2   10.95   -15.08  9.55    -12.31
2   12.28   -14.39  10.53   -12.80
3   11.04   -21.45  9.48    -20.67
3   10.76   -22.52  9.43    -21.07
3   10.99   -21.25  9.52    -20.22
3   10.78   -21.84  9.30    -19.74
3   11.07   -22.51  9.42    -21.09
3   10.20   -21.97  8.98    -21.76
3   11.67   -20.23  9.65    -20.91
3   7.53    -21.64  8.29    -21.88
3   10.65   -22.49  9.07    -23.18
3   10.58   -21.91  8.99    -22.49
3   11.13   -21.65  9.77    -20.53
3   7.73    -21.37  9.54    -20.92
3   10.79   -22.90  8.46    -23.84
3   10.47   -21.13  9.20    -21.17
3   10.82   -19.33  8.99    -21.31
3   10.41   -20.29  8.62    -20.84
3   11.10   -20.56  9.55    -20.75
3   10.95   -20.87  8.96    -21.88
3   10.76   -21.07  9.64    -20.15
3   10.83   -21.69  8.86    -21.88
3   10.25   -21.17  9.47    -19.62
3   10.52   -21.74  8.04    -22.25
3   9.94    -22.69  8.40    -21.89
3   9.94    -21.06  9.25    -19.39
3   11.61   -20.42  10.37   -19.88
3   10.65   -21.50  8.53    -22.56
3   10.76   -20.15  9.33    -21.36
3   11.11   -21.99  9.15    -22.87
3   10.20   -22.30  9.02    -22.98
3   11.27   -21.71  9.59    -21.40
3   10.21   -22.48  9.06    -21.26
3   10.88   -21.86  9.86    -21.33
3   11.21   -21.68  9.48    -20.69
3   11.36   -20.97  9.73    -20.83
3   10.75   -21.91  8.89    -21.78
3   12.38   -19.05  10.76   -18.63
3   11.16   -22.78  9.42    -22.94
3   11.57   -22.36  8.72    -23.12
3   10.79   -22.46  8.46    -22.96
3   11.13   -21.52  9.39    -21.32
3   10.72   -21.84  9.42    -20.82
3   10.99   -21.30  8.87    -21.89
3   10.38   -21.39  8.45    -21.79
3   10.95   -22.10  8.76    -22.12
3   10.75   -21.59  9.23    -20.99
3   10.75   -20.14  9.60    -20.56
3   11.05   -20.67  9.38    -20.43
3   10.66   -20.31  9.12    -20.38
3   10.61   -20.07  9.13    -20.24
3   10.90   -21.20  9.87    -21.10
3   11.14   -20.44  9.55    -20.84
3   10.33   -22.06  10.16   -21.77
3   10.83   -22.05  9.17    -21.64
3   10.75   -21.44  9.63    -19.70
3   9.18    -21.93  8.79    -21.86
3   9.03    -22.47  8.51    -22.56
3   9.05    -22.27  8.63    -22.36
3   8.60    -22.19  8.43    -22.12
3   8.29    -22.81  8.49    -22.75
3   10.32   -20.48  8.07    -21.99
3   10.28   -22.47  8.54    -22.91
3   6.47    -18.06  11.13   -22.07
3   11.36   -20.72  9.73    -21.01
3   10.75   -20.97  8.70    -21.72
3   11.13   -19.11  9.57    -19.20
3   11.37   -18.40  9.62    -19.30
3   10.86   -20.45  9.49    -20.56
3   10.54   -21.20  8.31    -22.12
3   10.39   -19.74  9.65    -20.10
3   10.66   -20.48  9.39    -19.74
3   9.99    -21.48  8.45    -22.89
3   11.65   -17.81  9.47    -16.43
3   11.02   -19.77  8.36    -21.99
3   10.67   -22.56  8.95    -22.64
4   8.15    -14.72  6.87    -15.71
4   11.12   -12.21  9.87    -13.21
4   10.95   -12.35  9.70    -13.27
